accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN31132200	Successfully loaded	2210_Pact_mtORF_HoloInt	2210_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			015_2210										The Putnam Lab at the University of Rhode Island
SAMN31132201	Successfully loaded	2212_Pact_mtORF_HoloInt	2212_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii Reef.35.36	Coral host tissue	adult			026_2212										The Putnam Lab at the University of Rhode Island
SAMN31132202	Successfully loaded	2300_Pact_mtORF_HoloInt	2300_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.18	Coral host tissue	adult			009_2300										The Putnam Lab at the University of Rhode Island
SAMN31132203	Successfully loaded	2304_Pact_mtORF_HoloInt	2304_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.18	Coral host tissue	adult			034_2304										The Putnam Lab at the University of Rhode Island
SAMN31132204	Successfully loaded	2305_Pact_mtORF_HoloInt	2305_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.18	Coral host tissue	adult			107_2305										The Putnam Lab at the University of Rhode Island
SAMN31132205	Successfully loaded	2306_Pact_mtORF_HoloInt	2306_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii Reef.18	Coral host tissue	adult			025_2306										The Putnam Lab at the University of Rhode Island
SAMN31132206	Successfully loaded	2357_Pact_mtORF_HoloInt	2357_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.18	Coral host tissue	adult			118_2357										The Putnam Lab at the University of Rhode Island
SAMN31132207	Successfully loaded	2363_Pact_mtORF_HoloInt	2363_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			023_2363										The Putnam Lab at the University of Rhode Island
SAMN31132208	Successfully loaded	2409_Pact_mtORF_HoloInt	2409_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			109_2409										The Putnam Lab at the University of Rhode Island
SAMN31132209	Successfully loaded	2413_Pact_mtORF_HoloInt	2413_Pact_mtORF_HoloInt		Pocillopora acuta	ATAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii Reef.18	Coral host tissue	adult			03_2413										The Putnam Lab at the University of Rhode Island
SAMN31132210	Successfully loaded	2414_Pact_mtORF_HoloInt	2414_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			013_2414										The Putnam Lab at the University of Rhode Island
SAMN31132211	Successfully loaded	2513_Pact_mtORF_HoloInt	2513_Pact_mtORF_HoloInt		Pocillopora acuta	HTAC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.18	Coral host tissue	adult			076_2513										The Putnam Lab at the University of Rhode Island
SAMN31132212	Successfully loaded	2527_Pact_mtORF_HoloInt	2527_Pact_mtORF_HoloInt		Pocillopora acuta	HTHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			060_2527										The Putnam Lab at the University of Rhode Island
SAMN31132213	Successfully loaded	2534_Pact_mtORF_HoloInt	2534_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.18	Coral host tissue	adult			098_2534										The Putnam Lab at the University of Rhode Island
SAMN31132214	Successfully loaded	2550_Pact_mtORF_HoloInt	2550_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-17	USA: Hawaii Reef.18	Coral host tissue	adult			090_2550										The Putnam Lab at the University of Rhode Island
SAMN31132215	Successfully loaded	2564_Pact_mtORF_HoloInt	2564_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii Reef.18	Coral host tissue	adult			07_2564										The Putnam Lab at the University of Rhode Island
SAMN31132216	Successfully loaded	2668_Pact_mtORF_HoloInt	2668_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			084_2668										The Putnam Lab at the University of Rhode Island
SAMN31132217	Successfully loaded	2733_Pact_mtORF_HoloInt	2733_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			112_2733										The Putnam Lab at the University of Rhode Island
SAMN31132218	Successfully loaded	2743_Pact_mtORF_HoloInt	2743_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			095_2743										The Putnam Lab at the University of Rhode Island
SAMN31132219	Successfully loaded	2750_Pact_mtORF_HoloInt	2750_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.42.43	Coral host tissue	adult			048_2750										The Putnam Lab at the University of Rhode Island
SAMN31132220	Successfully loaded	2861_Pact_mtORF_HoloInt	2861_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-20	USA: Hawaii HIMB	Coral host tissue	adult			057_2861										The Putnam Lab at the University of Rhode Island
SAMN31132221	Successfully loaded	2870_Pact_mtORF_HoloInt	2870_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii HIMB	Coral host tissue	adult			050_2870										The Putnam Lab at the University of Rhode Island
SAMN31132222	Successfully loaded	2873_Pact_mtORF_HoloInt	2873_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii HIMB	Coral host tissue	adult			019_2873										The Putnam Lab at the University of Rhode Island
SAMN31132223	Successfully loaded	2877_Pact_mtORF_HoloInt	2877_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-23	USA: Hawaii HIMB	Coral host tissue	adult			022_2877										The Putnam Lab at the University of Rhode Island
SAMN31132224	Successfully loaded	2878_Pact_mtORF_HoloInt	2878_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-10-06	USA: Hawaii HIMB	Coral host tissue	adult			047_2878										The Putnam Lab at the University of Rhode Island
SAMN31132225	Successfully loaded	2879_Pact_mtORF_HoloInt	2879_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-12-15	USA: Hawaii HIMB	Coral host tissue	adult			030_2879										The Putnam Lab at the University of Rhode Island
SAMN31132226	Successfully loaded	2977_Pact_mtORF_HoloInt	2977_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.11.13	Coral host tissue	adult			049_2977										The Putnam Lab at the University of Rhode Island
SAMN31132227	Successfully loaded	2979_Pact_mtORF_HoloInt	2979_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-11-03	USA: Hawaii Reef.35.36	Coral host tissue	adult			017_2979										The Putnam Lab at the University of Rhode Island
SAMN31132228	Successfully loaded	2993_Pact_mtORF_HoloInt	2993_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-22	USA: Hawaii Reef.11.13	Coral host tissue	adult			049_2993										The Putnam Lab at the University of Rhode Island
SAMN31132229	Successfully loaded	2999_Pact_mtORF_HoloInt	2999_Pact_mtORF_HoloInt		Pocillopora acuta	ATHC treatment: individual coral	not applicable		seawater in experimental tanks	2018-09-29	USA: Hawaii Lilipuna.Fringe	Coral host tissue	adult			017_2999										The Putnam Lab at the University of Rhode Island
